restaurant_id,restaurant_name,cuisine_type
3343,Gwalia Sweets & Fast Food,Mango Mania
3344,Hotspot Grill,Rotis
3345,Sangeetha's Desi Mane - Annanagar,Evening Spl Sweet
3346,Good Flippin' Burgers,Good Flippin Deals
3347,Amritsari Restaurant Katora Talab,Noodles
3348,Hotel Sitara Grand - Dhanturi Group of hotels,Indian Curries Veg
3349,Mad Over Donuts,Mod X Laneige Donuts
3350,Oudh 1590,Soups
3351,Aryaas,Meals
3352,Wow! Chicken By Wow! Momo,Wow! Kurkure Burger
3353,Mad For Momos,Fries
3354,Wow! Kulfi,Dessert
3355,Dhaba 14,Thali
3356,Zaatar Arabic Restaurant,Koozi
3357,Veer Ji Malai Chaap Wale,Main Course (north Indian)
3358,Maa Ki Rasoi,Paratha Tandoor Se With Raita
3359,Urban Pinds Food Factory,Soups
3360,Mio Amore - The Cake Shop,Celebration Cakes
3361,Sodhani Sweets And Namkeen,Desserts
3362,Lo! - Low Carb and Keto Foods,Keto Stuffed Parathas
3363,Vadilal Ice Creams,Recommended
3364,Wow! Chicken By Wow! Momo,Everyday Wow! Day
3365,Barbeque Nation,Value Meals - Newly Launched
3366,MP's Kitchen,Main Course
3367,Cafe Coffee Day,"Coffee Powders, Cookies N More"
3368,Keventers Waffles & Ice Cream,Hand Scooped 750 ML Family Pack (Serve 6-8)
3369,DragonWok Restaurant,Wok Fried Chow
3370,Radhe Bol,Chat
3371,Oye Hoye Paratha,Authentic Recipes
3372,Shabal Restaurant,Fried Rice
3373,Southern Taste,Dosa Plain
3374,Brijwasi Pure Veg,Recommended
3375,Maa Ki Rasoi,Maa Ki Rasoi Special
3376,Moti Mahal,Mini Meals
3377,Maa Ki Rasoi,Sev Ki Sabji
3378,Shyamasree Restaurant,Meals
3379,Le Meridien - Latest Recipe,Dessert
3380,Eden Restaurant,Assorted Platters
3381,Pikwik Since 1991,Pikwik Kathi Rolls
